Week,Gangbuk-gu,Gwangjin-gu,Nowon-gu,Dobong-gu,Dongdaemun-gu,Mapo-gu,Seodaemun-gu,Seongdong-gu,Seongbuk-gu,Yongsan-gu,Eunpyeong-gu,Jongno-gu,Jung-gu,Jungnang-gu,Gangnam-gu,Gangdong-gu,Gangseo-gu,Gwanak-gu,Guro-gu,Geumcheon-gu,Dongjak-gu,Seocho-gu,Songpa-gu,Yangcheon-gu,Yeongdeungpo-gu
12/5,0.00 ,-0.06 ,-0.08 ,0.00 ,-0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.08 ,-0.02 ,0.00 ,-0.03 ,-0.03 ,-0.05 ,-0.06 ,-0.05 ,-0.05 ,-0.01 ,0.01 ,0.02 ,-0.04 ,-0.12 ,-0.07 ,0.00 
12/12,-0.05 ,0.00 ,-0.03 ,-0.01 ,0.00 ,-0.02 ,0.00 ,0.00 ,0.00 ,-0.01 ,-0.02 ,-0.02 ,-0.07 ,0.00 ,0.06 ,0.04 ,-0.03 ,0.00 ,-0.08 ,0.00 ,-0.02 ,-0.04 ,-0.05 ,-0.02 ,-0.07 
12/19,0.00 ,-0.02 ,-0.04 ,0.00 ,0.00 ,-0.05 ,0.00 ,-0.01 ,-0.03 ,-0.03 ,-0.06 ,0.00 ,-0.05 ,0.00 ,-0.05 ,0.00 ,-0.05 ,0.00 ,0.00 ,0.00 ,0.00 ,-0.04 ,-0.04 ,-0.01 ,-0.06 
12/26,0.00 ,-0.01 ,0.00 ,-0.08 ,0.00 ,-0.02 ,-0.01 ,-0.01 ,0.00 ,-0.02 ,-0.02 ,0.00 ,-0.04 ,-0.03 ,-0.06 ,-0.01 ,-0.02 ,0.00 ,-0.02 ,0.00 ,-0.01 ,-0.05 ,-0.08 ,-0.07 ,-0.07 
12/1/2,-0.03 ,0.00 ,-0.01 ,-0.02 ,0.00 ,-0.06 ,0.00 ,0.00 ,-0.02 ,-0.01 ,-0.01 ,0.00 ,-0.03 ,0.00 ,-0.13 ,-0.01 ,-0.03 ,0.00 ,-0.01 ,0.00 ,-0.03 ,-0.07 ,-0.08 ,-0.14 ,-0.03 
1/9,0.00 ,-0.01 ,-0.02 ,-0.06 ,0.00 ,-0.06 ,-0.05 ,0.00 ,0.00 ,-0.01 ,0.00 ,0.00 ,-0.08 ,-0.01 ,-0.05 ,-0.02 ,0.00 ,0.00 ,-0.03 ,0.02 ,0.00 ,-0.01 ,-0.09 ,-0.17 ,-0.07 
1/16,0.00 ,0.00 ,-0.03 ,-0.01 ,-0.01 ,-0.02 ,-0.07 ,0.00 ,0.00 ,-0.02 ,0.00 ,0.00 ,-0.04 ,0.00 ,-0.09 ,0.00 ,0.00 ,-0.07 ,-0.03 ,0.00 ,0.00 ,-0.07 ,-0.04 ,-0.11 ,-0.04 
1/30,-0.05 ,-0.02 ,-0.03 ,0.00 ,-0.06 ,-0.03 ,-0.03 ,0.00 ,0.00 ,-0.01 ,-0.04 ,0.01 ,-0.03 ,0.00 ,-0.06 ,0.00 ,-0.02 ,-0.06 ,-0.01 ,-0.01 ,0.00 ,-0.04 ,-0.08 ,-0.37 ,-0.07 
2/6,-0.05 ,-0.01 ,-0.01 ,0.00 ,-0.07 ,-0.04 ,0.00 ,0.00 ,-0.02 ,-0.02 ,-0.04 ,0.00 ,-0.04 ,0.00 ,-0.19 ,0.03 ,-0.11 ,0.00 ,-0.01 ,0.00 ,-0.02 ,-0.03 ,-0.03 ,-0.07 ,0.00 
2/13,-0.06 ,-0.04 ,-0.02 ,-0.07 ,-0.10 ,-0.26 ,0.00 ,-0.05 ,0.02 ,0.00 ,-0.10 ,0.01 ,-0.05 ,0.00 ,-0.07 ,-0.05 ,-0.05 ,0.00 ,0.00 ,-0.04 ,-0.01 ,-0.02 ,-0.11 ,-0.15 ,-0.01 
2/20,-0.06 ,-0.04 ,-0.05 ,-0.06 ,-0.03 ,-0.08 ,0.00 ,0.00 ,0.01 ,-0.02 ,-0.11 ,0.02 ,-0.05 ,-0.02 ,-0.14 ,-0.03 ,-0.09 ,0.01 ,-0.01 ,0.00 ,-0.02 ,-0.05 ,-0.11 ,-0.11 ,-0.02 
2/27,-0.06 ,-0.01 ,-0.03 ,-0.02 ,-0.01 ,-0.08 ,-0.07 ,-0.04 ,-0.02 ,0.00 ,-0.01 ,0.01 ,-0.04 ,-0.02 ,-0.08 ,-0.05 ,-0.14 ,-0.02 ,-0.01 ,0.00 ,0.00 ,-0.10 ,-0.04 ,-0.18 ,-0.06 
3/5,-0.02 ,-0.04 ,-0.05 ,-0.08 ,-0.11 ,-0.06 ,0.00 ,-0.07 ,-0.03 ,0.00 ,0.00 ,0.00 ,-0.04 ,-0.05 ,-0.09 ,-0.02 ,-0.08 ,-0.01 ,-0.02 ,-0.06 ,0.00 ,-0.07 ,-0.20 ,-0.07 ,-0.04 
